Date,Open,High,Low,Close,Adjusted_close,Volume
10/05/2022,155.52,156.74,152.93,154.51,153.1839,115366700
11/05/2022,153.5,155.45,145.81,146.5,145.2427,142689800
12/05/2022,142.77,146.2,138.8,142.56,141.3365,182602000
13/05/2022,144.59,148.1,143.11,147.11,145.8474,113990900
16/05/2022,145.55,147.52,144.18,145.54,144.2909,86643800
17/05/2022,148.86,149.77,146.68,149.24,147.9592,78336300
18/05/2022,146.85,147.36,139.9,140.82,139.6114,109742900
19/05/2022,139.88,141.66,136.6,137.35,136.1712,136095600
20/05/2022,139.09,140.7,132.61,137.59,136.4091,137426100
23/05/2022,137.79,143.26,137.65,143.11,141.8818,117726300
24/05/2022,140.81,141.97,137.33,140.36,139.1554,104132700
25/05/2022,138.43,141.79,138.34,140.52,139.314,92482700
26/05/2022,137.39,144.34,137.14,143.78,142.546,90601500
27/05/2022,145.39,149.68,145.26,149.64,148.3557,90978500
31/05/2022,149.07,150.66,146.84,148.84,147.5626,103718400
01/06/2022,149.9,151.74,147.68,148.71,147.4337,74286600
02/06/2022,147.83,151.27,146.86,151.21,149.9122,72348100
03/06/2022,146.9,147.97,144.46,145.38,144.1323,88570300
06/06/2022,147.03,148.57,144.9,146.14,144.8858,71598400
07/06/2022,144.35,149,144.1,148.71,147.4337,67808200
08/06/2022,148.58,149.87,147.46,147.96,146.6901,53950200
09/06/2022,147.08,147.95,142.53,142.64,141.4158,69473000
10/06/2022,140.28,140.76,137.06,137.13,135.9531,91437900
13/06/2022,132.87,135.2,131.44,131.88,130.7481,122207100
14/06/2022,133.13,133.89,131.48,132.76,131.6206,84784300
15/06/2022,134.29,137.34,132.16,135.43,134.2677,91533000
16/06/2022,132.08,132.39,129.04,130.06,128.9438,108123900
17/06/2022,130.07,133.08,129.81,131.56,130.4309,134520300
21/06/2022,133.42,137.06,133.32,135.87,134.7039,81000500
22/06/2022,134.79,137.76,133.91,135.35,134.1884,73409200
23/06/2022,136.82,138.59,135.63,138.27,137.0833,72433800
24/06/2022,139.9,141.91,139.77,141.66,140.4442,89116800
27/06/2022,142.7,143.49,140.97,141.66,140.4442,70207900
28/06/2022,142.13,143.42,137.32,137.44,136.2604,67083400
